,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ribeira grande,75,ES,1605073307,87,42.75,-8.44,50.0,9.17
1,namibe,20,AO,1605073084,80,-15.2,12.15,73.17,1.25
2,okato,63,NZ,1605073606,77,-39.2,173.88,57.99,7.0
3,rikitea,0,PF,1605073277,77,-23.12,-134.97,73.47,19.95
4,katsuura,75,JP,1605073311,41,35.13,140.3,64.0,17.22
5,albany,1,US,1605073281,67,42.6,-73.97,62.01,5.35
6,tecoanapa,29,MX,1605073607,80,16.52,-98.75,79.41,6.22
7,punta arenas,100,PH,1605073278,66,8.99,125.34,85.86,6.96
8,qaanaaq,0,GL,1605073294,61,77.48,-69.36,-1.95,2.57
9,hobart,0,AU,1605073035,23,-42.88,147.33,87.8,17.22
10,upernavik,100,GL,1605073302,92,72.79,-56.15,12.87,4.29
11,torbat-e jam,100,PF,1605073288,79,-16.48,-151.75,78.33,13.22
12,faanui,38,NZ,1605073279,78,-46.19,168.86,55.99,8.99
13,mataura,0,RU,1605073326,98,54.43,31.9,31.26,3.96
14,sobolevo,5,PF,1605073293,76,-9.8,-139.03,78.19,19.82
15,atuona,100,RU,1605073349,94,65.58,-171.0,32.77,6.2
16,lavrentiya,5,CA,1605073297,76,69.45,-133.04,-7.6,12.75
17,tuktoyaktuk,75,CA,1605073079,77,62.46,-114.35,-2.0,6.93
18,yellowknife,91,RU,1605073298,92,70.63,147.92,-7.08,0.81
19,chokurdakh,20,US,1605073314,85,64.84,-147.72,23.0,2.24
20,fairbanks,0,AU,1605073365,8,-25.24,130.99,96.8,16.11
21,yulara,85,AU,1605073283,69,-33.65,115.33,60.01,4.0
22,busselton,0,ZA,1605073273,74,-34.42,19.23,62.01,5.99
23,hermanus,40,AR,1605073051,61,-54.8,-68.3,48.2,10.29
24,ushuaia,20,TO,1605073287,74,-21.2,-175.2,78.8,9.17
25,vaini,90,US,1605073202,78,71.29,-156.79,15.8,25.28
26,barrow,29,RU,1605073310,94,73.51,80.55,6.01,15.26
27,dikson,17,AR,1605073247,85,-43.3,-65.1,59.2,9.57
28,rawson,20,JP,1605073611,37,33.28,134.15,66.2,11.41
29,muroto,100,FO,1605073382,81,62.23,-6.59,44.6,14.99
30,klaksvik,40,US,1605073290,78,22.08,-159.32,78.8,19.46
31,kapaa,97,RU,1605073301,95,65.85,44.24,28.36,8.39
32,mezen,0,ES,1605073284,82,36.59,-6.23,57.99,9.17
33,puerto ayora,0,NP,1605073611,30,26.81,87.28,83.14,4.68
35,mar del plata,90,SE,1605073612,93,64.75,20.95,35.6,5.82
36,skelleftea,16,ES,1605073612,85,38.84,0.11,61.0,7.14
37,denia,90,CA,1605073280,92,55.74,-97.86,12.2,3.36
38,samalaeulu,90,US,1605073289,83,19.73,-155.09,75.2,5.82
39,thompson,20,BR,1605073283,88,-22.84,-46.65,69.8,6.93
40,hilo,98,BR,1605073613,92,-5.53,-46.7,72.28,1.92
41,arraial do cabo,90,ZW,1605073613,72,-21.05,31.67,71.92,8.48
44,chiredzi,1,US,1605073614,45,38.42,-121.42,50.0,4.7
45,east london,75,CA,1605073614,92,55.3,-123.17,14.0,3.36
46,saint-francois,90,US,1605073334,93,57.79,-152.41,44.6,11.41
47,laguna,40,BR,1605073078,78,-8.28,-35.03,78.8,9.17
48,mackenzie,100,AU,1605073353,46,-28.77,114.6,71.6,11.41
49,kodiak,1,ZA,1605073309,87,-34.53,20.04,53.6,9.4
50,cabo san lucas,0,CL,1605073615,87,-45.58,-72.07,50.0,2.04
51,warqla,100,CD,1605073279,66,-7.03,29.76,76.84,3.42
52,geraldton,100,GB,1605073361,93,53.65,-1.81,48.0,3.0
53,bredasdorp,4,CL,1605073287,93,-36.41,-71.9,55.0,3.36
54,coihaique,1,US,1605073189,67,42.1,-79.24,63.0,10.29
55,tsihombe,75,BR,1605073372,88,-5.2,-35.46,73.4,4.7
56,port alfred,100,FO,1605073616,81,62.16,-7.17,44.6,14.99
57,belushya guba,20,GR,1605073616,67,38.3,21.78,57.2,3.36
58,marsh harbour,40,MU,1605073324,69,-20.52,57.52,78.8,13.87
59,cape town,98,RU,1605073378,84,69.49,88.4,3.2,6.71
60,jamestown,16,CA,1605073617,67,47.38,-61.86,57.2,16.11
61,touros,91,SB,1605073617,75,-10.45,161.92,84.24,4.47
62,vestmanna,20,IN,1605073292,70,10.57,72.64,84.2,4.7
63,rio grande,1,US,1605073305,61,34.64,-120.46,51.8,3.36
64,souillac,23,KI,1605073294,79,3.07,172.79,82.24,9.62
65,talnakh,1,US,1605073303,87,41.37,-73.41,62.01,3.36
66,cap-aux-meules,100,RU,1605073285,96,69.7,170.31,21.15,16.2
67,saint george,100,RU,1605073286,92,71.92,114.08,0.46,8.52
68,kirakira,100,RU,1605073618,97,63.28,118.33,29.84,5.86
69,kavaratti,98,CA,1605073280,56,43.75,-81.72,69.8,24.16
70,lompoc,75,CA,1605073251,85,63.75,-68.51,10.4,3.8
71,butaritari,100,CD,1605073279,66,-7.03,29.76,76.84,3.42
72,bethel,0,IN,1605073619,22,27.43,77.1,81.5,6.33
73,pevek,1,US,1605073619,77,42.25,-75.83,61.0,8.05
74,saskylakh,0,NA,1605073295,25,-26.65,15.16,70.43,11.63
75,nyurba,90,FR,1605073298,93,48.5,6.66,51.8,2.24
76,goderich,75,RU,1605073324,86,64.38,-173.3,33.8,6.71
77,iqaluit,2,MG,1605073620,37,-16.78,47.65,86.07,6.33
78,port elizabeth,75,US,1605073538,97,44.06,-121.32,34.0,4.7
79,nagar,96,RU,1605073286,90,56.08,99.63,32.61,13.69
80,fevralsk,90,PH,1605073621,72,17.49,120.43,83.17,15.84
81,broome,98,TL,1605073312,67,-8.93,125.41,75.47,3.74
82,luderitz,12,CK,1605073293,83,-21.21,-159.78,77.0,14.99
83,flin flon,6,CN,1605073622,44,25.7,100.18,67.01,0.98
84,labutta,37,MX,1605073364,79,17.67,-100.0,68.09,5.1
85,provideniya,91,UZ,1605073224,66,40.43,71.72,50.0,3.4
86,tsaratanana,75,RU,1605073622,85,66.0,111.5,24.8,6.71
87,bend,97,CA,1605073623,75,51.23,-58.65,38.25,10.65
88,chunskiy,0,AR,1605073623,94,-27.46,-58.98,72.0,1.12
89,santa teresa,75,NO,1605073343,93,67.67,12.69,48.2,8.05
91,airai,80,CU,1605073624,81,20.66,-74.94,78.46,5.46
92,avarua,100,PT,1605073286,69,38.73,-28.27,56.7,12.77
93,dali,55,CN,1605073624,30,38.5,102.17,53.8,6.62
94,guerrero negro,0,AU,1605073296,49,-24.87,113.63,73.4,19.46
95,komsomolskiy,1,KR,1605073081,30,37.57,126.98,60.8,3.0
96,illoqqortoormiut,99,CA,1605073625,97,49.21,-84.77,30.24,11.01
97,aykhal,93,ID,1605073383,64,-3.37,135.48,86.74,5.66
98,saint-augustin,90,TZ,1605073625,94,-4.88,29.63,69.8,9.17
99,resistencia,0,ML,1605073305,22,22.68,-3.98,72.1,7.11
100,sorland,90,US,1605073392,95,33.19,-82.53,73.4,5.82
101,samarina,40,ID,1605073626,79,-1.27,116.83,87.8,2.24
102,taolanaro,95,ID,1605073626,62,-8.62,122.21,87.82,2.95
103,moa,0,IN,1605073305,30,20.51,76.21,76.3,8.41
104,ponta do sol,58,NZ,1605073277,78,-46.6,168.33,55.99,8.99
105,la orilla,0,ES,1605073627,87,36.59,-6.23,57.99,9.17
106,saleaula,0,CN,1605073627,76,46.33,132.21,36.68,9.57
107,wahran,0,BW,1605073627,60,-25.27,23.28,74.12,10.25
108,jinchang,69,ID,1605073336,68,-3.8,102.27,85.86,11.25
109,carnarvon,75,JP,1605073627,69,26.12,127.67,75.2,12.75
110,seoul,60,US,1605073277,83,41.3,-82.98,68.0,1.99
111,hornepayne,50,NZ,1605073292,73,-46.28,169.85,55.99,13.0
112,nabire,100,GL,1605073328,92,60.92,-46.05,20.52,4.9
113,kigoma,0,CN,1605073298,35,42.8,93.45,54.79,2.64
114,taoudenni,40,PF,1605073375,83,-17.73,-149.15,75.2,3.36
115,avera,99,AR,1605073302,90,-40.81,-63.0,61.0,1.01
116,balikpapan,0,ML,1605073172,25,13.3,-4.9,70.93,7.0
117,karaul,90,AU,1605073311,77,-33.87,121.9,60.8,13.87
118,maumere,0,SA,1605073546,72,18.22,42.51,62.6,4.09
119,sao filipe,31,CL,1605073630,82,-28.57,-70.76,51.89,1.21
120,pagman,75,RU,1605073317,92,59.7,30.79,32.0,2.24
121,bluff,40,PT,1605073630,63,33.08,-16.33,66.2,5.82
122,puerto madryn,76,RU,1605073630,84,61.95,159.23,1.09,8.46
123,baoqing,99,ID,1605073285,58,-9.11,124.89,85.75,2.68
124,werda,25,CN,1605073631,52,39.82,109.98,54.09,14.36
125,bengkulu,1,US,1605073299,68,38.88,-109.5,26.6,0.78
126,itoman,0,MA,1605073631,37,29.58,-9.5,57.88,1.72
127,khormuj,1,US,1605073307,79,57.05,-135.33,32.0,4.7
128,clyde river,0,MR,1605073322,19,20.52,-13.05,76.89,5.19
129,mullaitivu,100,NC,1605073385,80,-20.23,164.02,74.35,18.48
130,nizhneyansk,94,GL,1605073303,92,69.22,-51.1,5.05,2.86
131,zhaocheng,5,IT,1605073632,71,40.76,15.54,50.0,4.7
132,kaitangata,0,JO,1605073632,74,30.74,35.61,57.58,1.83
133,narsaq,0,NA,1605073633,16,-22.35,16.13,82.4,13.33
134,burica,83,RU,1605073633,86,64.92,77.78,0.0,6.64
135,hami,15,CL,1605073633,93,-36.72,-73.12,53.6,5.82
136,tautira,58,ZW,1605073633,65,-19.28,30.53,71.44,10.85
137,viedma,40,MY,1605073151,70,5.41,100.34,87.8,9.17
138,san policarpo,75,LR,1605073116,94,6.65,-10.59,77.0,2.21
139,los llanos de aridane,71,RU,1605073634,96,60.05,69.9,23.27,3.74
140,esperance,0,CH,1605073634,93,46.08,7.08,37.99,2.24
